Dystans do przejscia: 1000, dlugosc kroku: 5
0: (x,y)=(0,0)
1: (x,y)=(2.26995,-4.45503)
2: (x,y)=(0.808094,0.326491)
3: (x,y)=(-4.08264,-0.713067)
4: (x,y)=(-5.2074,4.15878)
5: (x,y)=(-5.46908,-0.834365)
6: (x,y)=(-7.73903,3.62067)
7: (x,y)=(-5.16384,-0.665169)
8: (x,y)=(-8.37778,-4.49539)
9: (x,y)=(-3.50593,-3.37064)
10: (x,y)=(-8.47854,-3.89328)
11: (x,y)=(-8.74022,-8.88643)
12: (x,y)=(-12.5138,-12.1667)
13: (x,y)=(-7.51453,-12.0795)
14: (x,y)=(-4.5756,-8.03437)
15: (x,y)=(-1.92601,-3.79413)
16: (x,y)=(-6.6536,-2.16629)
17: (x,y)=(-8.84545,2.32768)
18: (x,y)=(-5.01523,-0.88626)
19: (x,y)=(-6.64307,-5.61385)
20: (x,y)=(-2.18804,-7.88381)
21: (x,y)=(1.95715,-5.08784)
22: (x,y)=(0.00349264,-0.485317)
23: (x,y)=(-4.99575,-0.572579)
24: (x,y)=(-2.12786,-4.66834)
25: (x,y)=(2.83487,-4.05899)
26: (x,y)=(1.12477,0.639471)
27: (x,y)=(4.59806,4.23617)
28: (x,y)=(8.59124,1.22709)
29: (x,y)=(7.29714,6.05672)
30: (x,y)=(2.8824,8.40408)
31: (x,y)=(-0.653131,11.9396)
32: (x,y)=(-4.42668,15.2199)
33: (x,y)=(-9.18196,16.765)
34: (x,y)=(-4.42668,18.3101)
35: (x,y)=(-9.37802,17.6142)
36: (x,y)=(-10.9231,22.3695)
37: (x,y)=(-9.213,17.671)
38: (x,y)=(-5.21983,14.662)
39: (x,y)=(-7.56718,10.2472)
40: (x,y)=(-4.28689,6.47367)
41: (x,y)=(0.603849,5.43412)
42: (x,y)=(-3.1697,2.15382)
43: (x,y)=(-6.82647,5.56381)
44: (x,y)=(-3.05292,8.84411)
45: (x,y)=(-0.861064,4.35014)
46: (x,y)=(-5.46359,6.30379)
47: (x,y)=(-10.4149,5.60793)
48: (x,y)=(-14.788,3.18388)
49: (x,y)=(-18.4448,6.59387)
50: (x,y)=(-21.7904,2.87815)
51: (x,y)=(-17.6453,0.0821819)
52: (x,y)=(-17.2095,-4.89879)
